x,y,z
151.31279570241333,413.3929304113423,a
205.14706795951025,387.7817772949968,a
106.55294509237552,401.2459913541252,a
164.6488368129444,441.5330204981042,a
171.51068844964567,404.6275342258731,a
130.89245453562302,464.4727961485838,a
170.1772453201168,454.6110434047576,a
145.87936148135762,412.7648440309719,a
172.51338735933464,460.62067325246534,a
165.01553717849646,404.1884758650932,a
207.08971937451867,460.11873399159543,a
214.7212892207615,456.97131362181744,a
221.19773491063756,431.3271790832836,a
170.9976780597159,461.4715565414826,a
214.2663940746225,404.38243747504396,a
200.9846857551141,433.0589945517584,a
234.17334388616746,444.7315033477102,a
231.64314870111443,405.54896855371925,a
210.73078787084188,453.35269628141606,a
239.1203493932228,422.32626708172376,a
270.2216372146103,421.1961321941045,a
275.66641831019604,432.34661838530803,a
245.66087292994675,413.5131661092912,a
269.6556234718962,403.33071040647513,a
205.9288017054841,365.9111817366296,a
256.07016106828127,411.2932014028285,a
250.85926664736508,400.7088061561322,a
290.03567615992876,404.0108126022751,a
230.53389072869814,440.78476334940797,a
259.46678974714604,382.1746177760268,a
258.5394655007065,361.2240325751194,a
267.0970048568719,371.9466766308088,a
246.62545542903695,408.9567255075924,a
211.91398075480961,358.8419877613503,a
267.913947994818,350.85011947646467,a
250.80909382218584,340.911285124532,a
208.2145416133454,379.1890304516148,a
295.9085865783801,304.65791853541975,a
209.21690348586037,347.0248596609108,a
268.58983664792584,362.04639962150384,a
262.72138439426203,351.6255684207292,a
227.9638817600422,320.02738502106445,a
225.38933469315714,307.0708259175137,a
238.00632127973392,334.1879790549482,a
220.59520385240043,352.8571801917647,a
233.5496512423379,333.03564359063876,a
250.01461095245543,298.7530618406646,a
209.15580403084826,317.0827608971139,a
200.07494520023718,318.99516016531186,a
196.78341532182145,334.2557738607171,a
236.2241003016742,306.1143584024136,a
212.41880527142567,293.4244443873454,a
237.6316613986421,311.01349164076487,a
225.26285257659708,263.6381722757279,a
203.39829866641065,317.66258369255763,a
179.3237490267803,320.44693121984517,a
185.14620543808653,347.6337126282185,a
192.5407410243183,320.8973831882365,a
215.7741797198544,345.2244102836163,a
221.07519841250368,351.99305938550026,a
222.09740272228947,335.74746861196866,a
146.03642949363203,274.7283067758476,a
161.03149968983936,291.67518376914796,a
183.3817802691395,311.70294636445817,a
189.35218899861866,295.70634791411976,a
191.53049036018317,322.8582188140294,a
153.3843190303303,326.0898255834543,a
174.98460137610243,323.7804681804207,a
160.90402720924493,290.7936532294258,a
161.79208198363904,338.73005061697313,a
186.46633534074414,349.55960247499456,a
140.75281169650282,286.6353126902129,a
158.5545585030056,344.3830797952222,a
124.34100058157489,308.61704820583964,a
102.74123825043694,370.29034331495643,a
146.7426971353721,356.33377979229545,a
125.27900320377925,340.0534181081553,a
181.58490197765295,364.92856388866846,a
175.14189725190928,320.893410523292,a
151.30380819410834,365.59191123308926,a
119.03726398495354,367.2496513281006,a
170.56044987178586,392.9773567813903,a
160.076010657535,356.5963165497804,a
118.04518015009558,373.6891875453359,a
167.78698733819155,393.5847918255464,a
136.58689997074333,374.3321399781319,a
166.73800843500752,391.7475894365573,a
158.26551250333964,365.1228122998126,a
186.00725456759295,396.1050376600311,a
217.36339081658292,379.70053706990717,a
190.15750839386445,421.24617390623985,a
223.00636774989195,375.550222449212,a
158.9585466223855,385.003509288538,a
207.6652255295806,428.1018865978822,a
225.34318522965947,346.676722035425,a
278.09549696233773,349.4933533357661,a
209.69402915098402,360.1836208555611,a
251.79387112476215,380.8973029148918,a
199.67392854589426,354.9415319298895,a
228.98138403708205,372.87216222836736,a
220.29828810721725,383.07035934795204,a
224.86428402264858,379.35921820110934,a
217.2678210094862,334.11978531585805,a
248.21058121461064,355.17068864414824,a
279.02375550131933,375.94879936002144,a
